pack,track,code,grade,level,credential,theme,description,transfer_check
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-1,K–2,Explorer,Digital Keyholder,What a device knows about you,"Name one thing a tablet remembers, with an adult looking at settings together.",Open the settings of a real device and list three things it records that you did not switch on.
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-2,3–5,Explorer,Digital Keyholder,What a device knows about you,"Find two things a family device remembers about its use, with an adult.",Open the settings of a real device and list three things it records that you did not switch on.
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-3,6–8,Builder,Digital Keyholder,What a device knows about you,"List three sensors or logs on a real device that work even with the screen off, with a checker.",Open the settings of a real device and list three things it records that you did not switch on.
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-4,9–10,Practitioner,Digital Keyholder,What a device knows about you,Audit a real device's sensors and logs and say which keep working with the screen off.,Open the settings of a real device and list three things it records that you did not switch on.
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-5,11–12,Lead,Digital Keyholder,What a device knows about you,"Explain to a younger user, with evidence from settings, what a device tracks and why it matters.",Open the settings of a real device and list three things it records that you did not switch on.
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-6,K–2,Explorer,Digital Keyholder,"An account is a key, not a place","Say what a login and password are for, with an adult's help.","Pick one account you rely on and write down what would be lost if it vanished tonight, then export or copy the one thing that matters most."
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-7,3–5,Explorer,Digital Keyholder,"An account is a key, not a place",Explain why a shared family account still needs its own password for you.,"Pick one account you rely on and write down what would be lost if it vanished tonight, then export or copy the one thing that matters most."
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-8,6–8,Builder,Digital Keyholder,"An account is a key, not a place","Explain what a provider can see or do with your account, with a checker.","Pick one account you rely on and write down what would be lost if it vanished tonight, then export or copy the one thing that matters most."
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-9,9–10,Practitioner,Digital Keyholder,"An account is a key, not a place","Explain, for a real account you use, exactly what the provider holds and controls.","Pick one account you rely on and write down what would be lost if it vanished tonight, then export or copy the one thing that matters most."
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-10,11–12,Lead,Digital Keyholder,"An account is a key, not a place","Teach someone new to a service what an account actually is and is not, in their own words.","Pick one account you rely on and write down what would be lost if it vanished tonight, then export or copy the one thing that matters most."
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-11,K–2,Explorer,Digital Keyholder,"Passwords, passkeys and the second factor",Help an adult pick a strong password by making it long and silly together.,Turn on a second factor for a real account and explain what attack it just blocked.
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-12,3–5,Explorer,Digital Keyholder,"Passwords, passkeys and the second factor","Make up one long, strong password of your own for a practice account.",Turn on a second factor for a real account and explain what attack it just blocked.
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-13,6–8,Builder,Digital Keyholder,"Passwords, passkeys and the second factor","Set up a second factor on a real account, with a checker confirming it works.",Turn on a second factor for a real account and explain what attack it just blocked.
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-14,9–10,Practitioner,Digital Keyholder,"Passwords, passkeys and the second factor",Set up passkeys or a second factor on every real account that offers one.,Turn on a second factor for a real account and explain what attack it just blocked.
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-15,11–12,Lead,Digital Keyholder,"Passwords, passkeys and the second factor",Explain to a household why one strong secret per account beats reusing one clever one.,Turn on a second factor for a real account and explain what attack it just blocked.
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-16,K–2,Explorer,Digital Keyholder,Recovery: proving you are you,Tell an adult which grown-up should be able to help you get back into an account.,Run the account-recovery path for one of your accounts before you need it and record where it broke or held.
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-17,3–5,Explorer,Digital Keyholder,Recovery: proving you are you,Write down a trusted adult's name as your account's recovery contact.,Run the account-recovery path for one of your accounts before you need it and record where it broke or held.
"Digital Life, Data & AI","Devices, accounts and the keys you hold",DV-18,6–8,Builder,Digital Keyholder,Recovery: proving you are you,"Set a real recovery email or code for one of your own accounts, with a checker.",Run the account-recovery path for one of your accounts before you need it and record where it broke or held.
