pack,track,code,grade,level,credential,theme,description,transfer_check
"Energy, Grid & the Home",Electricity and the house that carries it,EL-1,K–2,Explorer,Home Circuit Reader,The path from pole to plug,Ask an adult where the wire outside connects to your house.,"Trace and sketch the actual path from your building's meter to one outlet, naming each stage you can safely observe."
"Energy, Grid & the Home",Electricity and the house that carries it,EL-2,3–5,Explorer,Home Circuit Reader,The path from pole to plug,"Trace where power enters your home from outside, with an adult's help.","Trace and sketch the actual path from your building's meter to one outlet, naming each stage you can safely observe."
"Energy, Grid & the Home",Electricity and the house that carries it,EL-3,6–8,Builder,Home Circuit Reader,The path from pole to plug,"Trace a real power path from pole to a real outlet, with a checker.","Trace and sketch the actual path from your building's meter to one outlet, naming each stage you can safely observe."
"Energy, Grid & the Home",Electricity and the house that carries it,EL-4,9–10,Practitioner,Home Circuit Reader,The path from pole to plug,"Explain, using real wiring, the full path from pole to plug.","Trace and sketch the actual path from your building's meter to one outlet, naming each stage you can safely observe."
"Energy, Grid & the Home",Electricity and the house that carries it,EL-5,11–12,Lead,Home Circuit Reader,The path from pole to plug,Teach someone else how to trace the real path electricity takes into a home.,"Trace and sketch the actual path from your building's meter to one outlet, naming each stage you can safely observe."
"Energy, Grid & the Home",Electricity and the house that carries it,EL-6,K–2,Explorer,Home Circuit Reader,The breaker panel is a map,Look at the breaker panel with an adult and point at a switch.,"Test and correctly label every breaker in a real panel, and demonstrate finding the right one for a named outlet."
"Energy, Grid & the Home",Electricity and the house that carries it,EL-7,3–5,Explorer,Home Circuit Reader,The breaker panel is a map,"Find one labeled breaker in a real panel, with an adult's help.","Test and correctly label every breaker in a real panel, and demonstrate finding the right one for a named outlet."
"Energy, Grid & the Home",Electricity and the house that carries it,EL-8,6–8,Builder,Home Circuit Reader,The breaker panel is a map,"Read a real breaker panel and identify what each switch controls, with a checker.","Test and correctly label every breaker in a real panel, and demonstrate finding the right one for a named outlet."
"Energy, Grid & the Home",Electricity and the house that carries it,EL-9,9–10,Practitioner,Home Circuit Reader,The breaker panel is a map,"Read and use a real breaker panel confidently, on your own.","Test and correctly label every breaker in a real panel, and demonstrate finding the right one for a named outlet."
"Energy, Grid & the Home",Electricity and the house that carries it,EL-10,11–12,Lead,Home Circuit Reader,The breaker panel is a map,Teach someone else how to read a real breaker panel like a map.,"Test and correctly label every breaker in a real panel, and demonstrate finding the right one for a named outlet."
