pack,track,code,grade,level,credential,theme,description,transfer_check
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-1,K–2,Explorer,Legal Navigator,Where rules come from,"Name a classroom rule and who made it, with a teacher's help.","For one everyday rule that binds you, identify which layer of law it comes from and find its actual text."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-2,3–5,Explorer,Legal Navigator,Where rules come from,"Explain the difference between a class rule and a town rule, with an adult.","For one everyday rule that binds you, identify which layer of law it comes from and find its actual text."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-3,6–8,Builder,Legal Navigator,Where rules come from,"Name a real statute, regulation and bylaw and how each is different, with a checker.","For one everyday rule that binds you, identify which layer of law it comes from and find its actual text."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-4,9–10,Practitioner,Legal Navigator,Where rules come from,"Trace a real rule to whether it comes from a statute, regulation or bylaw, on your own.","For one everyday rule that binds you, identify which layer of law it comes from and find its actual text."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-5,11–12,Lead,Legal Navigator,Where rules come from,Explain to someone else where a real rule they follow actually comes from.,"For one everyday rule that binds you, identify which layer of law it comes from and find its actual text."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-6,K–2,Explorer,Legal Navigator,Civil versus criminal,"Say the difference between an accident and breaking a rule on purpose, with an adult.","Sort five real scenarios into civil, criminal or both, naming the parties and the standard of proof for each."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-7,3–5,Explorer,Legal Navigator,Civil versus criminal,"Explain why some wrongs are 'against a person' and some are 'against everyone', with an adult.","Sort five real scenarios into civil, criminal or both, naming the parties and the standard of proof for each."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-8,6–8,Builder,Legal Navigator,Civil versus criminal,"Sort three real cases into civil and criminal correctly, with a checker.","Sort five real scenarios into civil, criminal or both, naming the parties and the standard of proof for each."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-9,9–10,Practitioner,Legal Navigator,Civil versus criminal,"Explain, for a real news story, whether it is a civil or criminal matter and why.","Sort five real scenarios into civil, criminal or both, naming the parties and the standard of proof for each."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-10,11–12,Lead,Legal Navigator,Civil versus criminal,Explain to someone else why the same real act could be both a civil and a criminal matter.,"Sort five real scenarios into civil, criminal or both, naming the parties and the standard of proof for each."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-11,K–2,Explorer,Legal Navigator,"The courts, from the inside","Draw a picture of a courtroom with an adult, naming one person in it.","Observe a real public hearing (in person or official stream) and report who did what, in the correct terms."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-12,3–5,Explorer,Legal Navigator,"The courts, from the inside","Name two people who work in a real courtroom, with an adult's help.","Observe a real public hearing (in person or official stream) and report who did what, in the correct terms."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-13,6–8,Builder,Legal Navigator,"The courts, from the inside","Explain what a real court actually does day to day, with a checker.","Observe a real public hearing (in person or official stream) and report who did what, in the correct terms."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-14,9–10,Practitioner,Legal Navigator,"The courts, from the inside","Explain the real hierarchy of courts and who hears what, on your own.","Observe a real public hearing (in person or official stream) and report who did what, in the correct terms."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-15,11–12,Lead,Legal Navigator,"The courts, from the inside",Explain to someone else what happens inside a real courtroom on an ordinary day.,"Observe a real public hearing (in person or official stream) and report who did what, in the correct terms."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-16,K–2,Explorer,Legal Navigator,Finding the actual rule,Look up a simple rule in a book with an adult's help.,"Answer one real legal question about your own life from primary official sources, citing the provision itself."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-17,3–5,Explorer,Legal Navigator,Finding the actual rule,"Find a real rule using an official website, with an adult.","Answer one real legal question about your own life from primary official sources, citing the provision itself."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-18,6–8,Builder,Legal Navigator,Finding the actual rule,"Find a real current rule from an official source and confirm it's current, with a checker.","Answer one real legal question about your own life from primary official sources, citing the provision itself."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-19,9–10,Practitioner,Legal Navigator,Finding the actual rule,"Do real legal research as a civilian, on your own, from official sources.","Answer one real legal question about your own life from primary official sources, citing the provision itself."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-20,11–12,Lead,Legal Navigator,Finding the actual rule,Teach someone else how to find and confirm a real current rule for themselves.,"Answer one real legal question about your own life from primary official sources, citing the provision itself."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-21,K–2,Explorer,Legal Navigator,Deadlines: the rights that expire,Ask an adult why some tickets or forms have a due date.,"For three real claim types, find the applicable time limit where you live and compute the deadline from a given event date."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-22,3–5,Explorer,Legal Navigator,Deadlines: the rights that expire,"Name one deadline that matters to your family, with an adult's help.","For three real claim types, find the applicable time limit where you live and compute the deadline from a given event date."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-23,6–8,Builder,Legal Navigator,Deadlines: the rights that expire,"Identify a real limitation period or notice window on a real matter, with a checker.","For three real claim types, find the applicable time limit where you live and compute the deadline from a given event date."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-24,9–10,Practitioner,Legal Navigator,Deadlines: the rights that expire,"Track a real deadline — limitation, notice, appeal — on your own, without missing it.","For three real claim types, find the applicable time limit where you live and compute the deadline from a given event date."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-25,11–12,Lead,Legal Navigator,Deadlines: the rights that expire,Explain to someone else why a real right can expire if you miss its deadline.,"For three real claim types, find the applicable time limit where you live and compute the deadline from a given event date."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-26,K–2,Explorer,Legal Navigator,Getting help you can afford,Ask an adult who helps people who can't pay a lawyer.,"Map the free and low-cost legal help available for one problem type at your own address, with eligibility rules verified."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-27,3–5,Explorer,Legal Navigator,Getting help you can afford,"Name one place that offers free legal help, with an adult's help.","Map the free and low-cost legal help available for one problem type at your own address, with eligibility rules verified."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-28,6–8,Builder,Legal Navigator,Getting help you can afford,"Find a real legal aid or pro bono service for a real need, with a checker.","Map the free and low-cost legal help available for one problem type at your own address, with eligibility rules verified."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-29,9–10,Practitioner,Legal Navigator,Getting help you can afford,Find and use a real affordable legal help option on your own.,"Map the free and low-cost legal help available for one problem type at your own address, with eligibility rules verified."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-30,11–12,Lead,Legal Navigator,Getting help you can afford,Guide someone else to a real free or fixed-fee legal help service.,"Map the free and low-cost legal help available for one problem type at your own address, with eligibility rules verified."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-31,K–2,Explorer,Legal Navigator,The letter before action,"Help write a short, polite complaint letter with an adult.","Draft a complete letter before action for a real or realistic dispute, meeting the format a court would later respect."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-32,3–5,Explorer,Legal Navigator,The letter before action,"Write a simple complaint with a fact and an ask, with an adult's help.","Draft a complete letter before action for a real or realistic dispute, meeting the format a court would later respect."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-33,6–8,Builder,Legal Navigator,The letter before action,"Write a real letter before action with facts, ask and deadline, with a checker.","Draft a complete letter before action for a real or realistic dispute, meeting the format a court would later respect."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-34,9–10,Practitioner,Legal Navigator,The letter before action,Write a real formal grievance letter on your own that gets a response.,"Draft a complete letter before action for a real or realistic dispute, meeting the format a court would later respect."
"Law, Contracts & Everyday Rights",Law: the system you already live in,LW-35,11–12,Lead,Legal Navigator,The letter before action,Help someone else write a real letter before action that states a clear ask and deadline.,"Draft a complete letter before action for a real or realistic dispute, meeting the format a court would later respect."
