pack,track,code,grade,level,credential,theme,description,transfer_check
Cognition.X : States OS,Water and the land,WL-1,K–2,Explorer,State Waters Steward,The water that made your state,"On a map with an adult, find the big water your state is known for and one town beside it.","On a real map, trace your state's defining water body and mark three towns that exist where they do because of it."
Cognition.X : States OS,Water and the land,WL-2,3–5,Explorer,State Waters Steward,The water that made your state,"On a real map, trace your state's main water body and mark two towns that grew beside it.","On a real map, trace your state's defining water body and mark three towns that exist where they do because of it."
Cognition.X : States OS,Water and the land,WL-3,6–8,Builder,State Waters Steward,The water that made your state,"On a real map, trace your state's defining water body and mark three towns that exist because of it, with a checker.","On a real map, trace your state's defining water body and mark three towns that exist where they do because of it."
Cognition.X : States OS,Water and the land,WL-4,9–10,Practitioner,State Waters Steward,The water that made your state,"On a real map, trace your state's defining water body and mark three towns that exist where they do because of it.","On a real map, trace your state's defining water body and mark three towns that exist where they do because of it."
Cognition.X : States OS,Water and the land,WL-5,11–12,Lead,State Waters Steward,The water that made your state,"Present your state's water story to a group from a real map: the defining water, three towns it explains, and one it no longer explains.","On a real map, trace your state's defining water body and mark three towns that exist where they do because of it."
Cognition.X : States OS,Water and the land,WL-6,K–2,Explorer,State Waters Steward,The watershed you stand in,Watch where rain from your roof goes and follow it to the nearest stream on a map with an adult.,"Follow a drop of rain from your own roof to the sea (or basin) on a map, naming each stream and river it joins."
Cognition.X : States OS,Water and the land,WL-7,3–5,Explorer,State Waters Steward,The watershed you stand in,"Follow a drop of rain from your roof to the nearest river on a map, naming each stream.","Follow a drop of rain from your own roof to the sea (or basin) on a map, naming each stream and river it joins."
Cognition.X : States OS,Water and the land,WL-8,6–8,Builder,State Waters Steward,The watershed you stand in,"Follow a drop of rain from your roof to the sea or basin on a map, naming each stream and river, with a checker.","Follow a drop of rain from your own roof to the sea (or basin) on a map, naming each stream and river it joins."
Cognition.X : States OS,Water and the land,WL-9,9–10,Practitioner,State Waters Steward,The watershed you stand in,"Follow a drop of rain from your own roof to the sea (or basin) on a map, naming each stream and river it joins.","Follow a drop of rain from your own roof to the sea (or basin) on a map, naming each stream and river it joins."
Cognition.X : States OS,Water and the land,WL-10,11–12,Lead,State Waters Steward,The watershed you stand in,"Present your watershed to a group from ridge to outlet, with every named stream, and where the water is measured on the way.","Follow a drop of rain from your own roof to the sea (or basin) on a map, naming each stream and river it joins."
Cognition.X : States OS,Water and the land,WL-11,K–2,Explorer,State Waters Steward,Who owns the water,Say who decides how the water in your town is shared.,"Name the body that governs water where you live and one real agreement or rule it enforces, from its own public materials."
Cognition.X : States OS,Water and the land,WL-12,3–5,Explorer,State Waters Steward,Who owns the water,Name the body that governs water where you live and one rule it has.,"Name the body that governs water where you live and one real agreement or rule it enforces, from its own public materials."
Cognition.X : States OS,Water and the land,WL-13,6–8,Builder,State Waters Steward,Who owns the water,"Name the body that governs water where you live and one real agreement or rule it enforces, with a checker.","Name the body that governs water where you live and one real agreement or rule it enforces, from its own public materials."
Cognition.X : States OS,Water and the land,WL-14,9–10,Practitioner,State Waters Steward,Who owns the water,Name the body that governs water where you live and one real agreement or rule it enforces with a neighbouring state or district.,"Name the body that governs water where you live and one real agreement or rule it enforces, from its own public materials."
Cognition.X : States OS,Water and the land,WL-15,11–12,Lead,State Waters Steward,Who owns the water,"Present the water governance of your state to a group: the body, the rights, the compacts, and one real dispute.","Name the body that governs water where you live and one real agreement or rule it enforces, from its own public materials."
Cognition.X : States OS,Water and the land,WL-16,K–2,Explorer,State Waters Steward,The land in four surfaces,"Look at a satellite map with an adult and point to farm, forest and city.","From a land-use or satellite map, estimate your state's four surfaces in rough proportions and check one against a published figure."
Cognition.X : States OS,Water and the land,WL-17,3–5,Explorer,State Waters Steward,The land in four surfaces,"From a land-use map, guess how much of your state is farmland, forest, range and city.","From a land-use or satellite map, estimate your state's four surfaces in rough proportions and check one against a published figure."
Cognition.X : States OS,Water and the land,WL-18,6–8,Builder,State Waters Steward,The land in four surfaces,"From a land-use or satellite map, estimate your state's four surfaces in rough proportions, with a checker.","From a land-use or satellite map, estimate your state's four surfaces in rough proportions and check one against a published figure."
Cognition.X : States OS,Water and the land,WL-19,9–10,Practitioner,State Waters Steward,The land in four surfaces,"From a land-use or satellite map, estimate your state's four surfaces in rough proportions and check one against a public figure.","From a land-use or satellite map, estimate your state's four surfaces in rough proportions and check one against a published figure."
Cognition.X : States OS,Water and the land,WL-20,11–12,Lead,State Waters Steward,The land in four surfaces,Present your state's four surfaces to a group with public figures and what each surface asks of the people who steward it.,"From a land-use or satellite map, estimate your state's four surfaces in rough proportions and check one against a published figure."
Cognition.X : States OS,Water and the land,WL-21,K–2,Explorer,State Waters Steward,The soil underneath,Dig up some soil with an adult and say what it feels like and what grows in it.,Dig or examine one real soil sample from your area and match it to your state's soil story in one paragraph.
Cognition.X : States OS,Water and the land,WL-22,3–5,Explorer,State Waters Steward,The soil underneath,Examine one soil sample from your area and say what it is good for growing.,Dig or examine one real soil sample from your area and match it to your state's soil story in one paragraph.
Cognition.X : States OS,Water and the land,WL-23,6–8,Builder,State Waters Steward,The soil underneath,"Examine one real soil sample from your area and match it to your state's soil story, with a checker.",Dig or examine one real soil sample from your area and match it to your state's soil story in one paragraph.
Cognition.X : States OS,Water and the land,WL-24,9–10,Practitioner,State Waters Steward,The soil underneath,Dig or examine one real soil sample from your area and match it to your state's soil story and what it grows.,Dig or examine one real soil sample from your area and match it to your state's soil story in one paragraph.
Cognition.X : States OS,Water and the land,WL-25,11–12,Lead,State Waters Steward,The soil underneath,Present real soil samples to a group with the state's soil map and why the farms and cities sit where they do.,Dig or examine one real soil sample from your area and match it to your state's soil story in one paragraph.
Cognition.X : States OS,Water and the land,WL-26,K–2,Explorer,State Waters Steward,The species that means home,Name your state's animal or flower and where it lives.,"Pick one official state species, find its real habitat status from a public source, and tell somebody what it needs."
Cognition.X : States OS,Water and the land,WL-27,3–5,Explorer,State Waters Steward,The species that means home,Pick one official state species and find out whether its home is doing well.,"Pick one official state species, find its real habitat status from a public source, and tell somebody what it needs."
Cognition.X : States OS,Water and the land,WL-28,6–8,Builder,State Waters Steward,The species that means home,"Pick one official state species, find its real habitat status from a public source, and report it, with a checker.","Pick one official state species, find its real habitat status from a public source, and tell somebody what it needs."
Cognition.X : States OS,Water and the land,WL-29,9–10,Practitioner,State Waters Steward,The species that means home,"Pick one official state species, find its real habitat status from a public source, and tell what condition its home is in.","Pick one official state species, find its real habitat status from a public source, and tell somebody what it needs."
