pack,track,code,grade,level,credential,theme,description,transfer_check
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-1,K–2,Explorer,Kitchen Hand,A kitchen you can find things in,"Help put dishes away in the right spot, with an adult.","Reorganise one real kitchen work area so a named dish can be made without crossing the room, and show the before and after."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-2,3–5,Explorer,Kitchen Hand,A kitchen you can find things in,"Find a real kitchen tool where it belongs, with an adult's help.","Reorganise one real kitchen work area so a named dish can be made without crossing the room, and show the before and after."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-3,6–8,Builder,Kitchen Hand,A kitchen you can find things in,"Organise a real kitchen area so tools are easy to find, with a checker.","Reorganise one real kitchen work area so a named dish can be made without crossing the room, and show the before and after."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-4,9–10,Practitioner,Kitchen Hand,A kitchen you can find things in,"Set up a real kitchen workspace for efficient real cooking, on your own.","Reorganise one real kitchen work area so a named dish can be made without crossing the room, and show the before and after."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-5,11–12,Lead,Kitchen Hand,A kitchen you can find things in,Teach someone else how to organise a real kitchen for real efficiency.,"Reorganise one real kitchen work area so a named dish can be made without crossing the room, and show the before and after."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-6,K–2,Explorer,Kitchen Hand,The knife and the hand that holds it,Watch an adult cut something with a knife safely.,"Demonstrate the claw grip and produce even slices, dice and rough chop from real vegetables."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-7,3–5,Explorer,Kitchen Hand,The knife and the hand that holds it,"Learn one safe knife grip, with an adult's help.","Demonstrate the claw grip and produce even slices, dice and rough chop from real vegetables."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-8,6–8,Builder,Kitchen Hand,The knife and the hand that holds it,"Use a real knife safely with correct grip and technique, with a checker.","Demonstrate the claw grip and produce even slices, dice and rough chop from real vegetables."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-9,9–10,Practitioner,Kitchen Hand,The knife and the hand that holds it,Use a real knife safely and skillfully on your own.,"Demonstrate the claw grip and produce even slices, dice and rough chop from real vegetables."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-10,11–12,Lead,Kitchen Hand,The knife and the hand that holds it,"Teach someone else safe, skillful real knife technique.","Demonstrate the claw grip and produce even slices, dice and rough chop from real vegetables."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-11,K–2,Explorer,Kitchen Hand,Heat: what pans and ovens actually do,Ask an adult why a pan gets hot on the stove.,Cook the same ingredient in a cold-start and a preheated pan and explain the difference you can see and taste.
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-12,3–5,Explorer,Kitchen Hand,Heat: what pans and ovens actually do,"Learn what heat does to real food, with an adult's help.",Cook the same ingredient in a cold-start and a preheated pan and explain the difference you can see and taste.
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-13,6–8,Builder,Kitchen Hand,Heat: what pans and ovens actually do,"Explain how a real pan or oven transfers heat to food, with a checker.",Cook the same ingredient in a cold-start and a preheated pan and explain the difference you can see and taste.
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-14,9–10,Practitioner,Kitchen Hand,Heat: what pans and ovens actually do,"Control real heat deliberately for a real cooking result, on your own.",Cook the same ingredient in a cold-start and a preheated pan and explain the difference you can see and taste.
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-15,11–12,Lead,Kitchen Hand,Heat: what pans and ovens actually do,Teach someone else how to control real heat for a specific cooking outcome.,Cook the same ingredient in a cold-start and a preheated pan and explain the difference you can see and taste.
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-16,K–2,Explorer,Kitchen Hand,"Fire, burns and the kitchen that bites",Stay back from the stove unless an adult says it's okay.,"Walk a real kitchen and state, for each hazard found, the correct first response — including why water never goes on an oil fire."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-17,3–5,Explorer,Kitchen Hand,"Fire, burns and the kitchen that bites","Know one kitchen fire safety rule, with an adult's help.","Walk a real kitchen and state, for each hazard found, the correct first response — including why water never goes on an oil fire."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-18,6–8,Builder,Kitchen Hand,"Fire, burns and the kitchen that bites","Identify a real kitchen fire or burn hazard, with a checker.","Walk a real kitchen and state, for each hazard found, the correct first response — including why water never goes on an oil fire."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-19,9–10,Practitioner,Kitchen Hand,"Fire, burns and the kitchen that bites","Respond correctly to a real kitchen burn or fire risk, on your own.","Walk a real kitchen and state, for each hazard found, the correct first response — including why water never goes on an oil fire."
"Food, Cooking & Nutrition",The kitchen and the tools in it,KT-20,11–12,Lead,Kitchen Hand,"Fire, burns and the kitchen that bites",Teach someone else the real safety rules for fire and burns in a kitchen.,"Walk a real kitchen and state, for each hazard found, the correct first response — including why water never goes on an oil fire."
