pack,track,code,grade,level,credential,theme,description,transfer_check
Cognition.X : Corporate OS,,T0A-CORP-CAI-1,11–12 · adult,Lead,Corporate Apprenticeship & Internship Programs Practice,Design programs,,Confirm one real case where you design programs. State the confirmed outcome for the real case where you design programs.
Cognition.X : Corporate OS,,T0A-CORP-CAI-2,11–12 · adult,Lead,Corporate Apprenticeship & Internship Programs Practice,Recruit participants,,Complete this once for a real case: recruit participants. Confirm the result. Record the specific result for the real case where you recruit participants.
Cognition.X : Corporate OS,,T0A-CORP-CAI-3,11–12 · adult,Lead,Corporate Apprenticeship & Internship Programs Practice,Provide mentoring,,Verify against real evidence that you provide mentoring. Confirm the verified outcome for the real case where you provide mentoring.
Cognition.X : Corporate OS,,T0A-CORP-CAI-4,11–12 · adult,Lead,Corporate Apprenticeship & Internship Programs Practice,Track development,,Produce documentation for one real case where you track development. Name the documentation produced for the real case where you track development.
Cognition.X : Corporate OS,,T0A-CORP-CAI-5,11–12 · adult,Lead,Corporate Apprenticeship & Internship Programs Practice,Measure outcomes,,Track a real case through to completion where you measure outcomes. Confirm the tracked outcome for the real case where you measure outcomes.
Cognition.X : Corporate OS,,T0A-CORP-COO-1,11–12 · adult,Lead,Corporate Orientation & Onboarding Program Practice,Design onboarding program,,Confirm one real case where you design onboarding program. State the confirmed outcome for the real case where you design onboarding program.
Cognition.X : Corporate OS,,T0A-CORP-COO-2,11–12 · adult,Lead,Corporate Orientation & Onboarding Program Practice,Create orientation materials,,Complete this once for a real case: create orientation materials. Confirm the result. Record the specific result for the real case where you create orientation materials.
Cognition.X : Corporate OS,,T0A-CORP-COO-3,11–12 · adult,Lead,Corporate Orientation & Onboarding Program Practice,Assign mentors,,Verify against real evidence that you assign mentors. Confirm the verified outcome for the real case where you assign mentors.
Cognition.X : Corporate OS,,T0A-CORP-COO-4,11–12 · adult,Lead,Corporate Orientation & Onboarding Program Practice,Track integration,,Produce documentation for one real case where you track integration. Name the documentation produced for the real case where you track integration.
Cognition.X : Corporate OS,,T0A-CORP-COO-5,11–12 · adult,Lead,Corporate Orientation & Onboarding Program Practice,Gather feedback,,Track a real case through to completion where you gather feedback. Confirm the tracked outcome for the real case where you gather feedback.
Cognition.X : Corporate OS,,T0A-CORP-MEP-1,11–12 · adult,Lead,Manager Executive Presence & Communication Skills Practice,Assess current,,Confirm one real case where you assess current. State the confirmed outcome for the real case where you assess current.
Cognition.X : Corporate OS,,T0A-CORP-MEP-2,11–12 · adult,Lead,Manager Executive Presence & Communication Skills Practice,Provide coaching,,Complete this once for a real case: provide coaching. Confirm the result. Record the specific result for the real case where you provide coaching.
Cognition.X : Corporate OS,,T0A-CORP-MEP-3,11–12 · adult,Lead,Manager Executive Presence & Communication Skills Practice,Build confidence,,Verify against real evidence that you build confidence. Confirm the verified outcome for the real case where you build confidence.
Cognition.X : Corporate OS,,T0A-CORP-MEP-4,11–12 · adult,Lead,Manager Executive Presence & Communication Skills Practice,Track improvement,,Produce documentation for one real case where you track improvement. Name the documentation produced for the real case where you track improvement.
Cognition.X : Corporate OS,,T0A-CORP-MEP-5,11–12 · adult,Lead,Manager Executive Presence & Communication Skills Practice,Sustain gains,,Track a real case through to completion where you sustain gains. Confirm the tracked outcome for the real case where you sustain gains.
Cognition.X : Corporate OS,,T0A-CORP-MTM-1,11–12 · adult,Lead,Manager Time Management & Workload Balance Practice,Assess time allocation,,Confirm one real case where you assess time allocation. State the confirmed outcome for the real case where you assess time allocation.
Cognition.X : Corporate OS,,T0A-CORP-MTM-2,11–12 · adult,Lead,Manager Time Management & Workload Balance Practice,Identify time wasters,,Complete this once for a real case: identify time wasters. Confirm the result. Record the specific result for the real case where you identify time wasters.
Cognition.X : Corporate OS,,T0A-CORP-MTM-3,11–12 · adult,Lead,Manager Time Management & Workload Balance Practice,Implement efficiency,,Verify against real evidence that you implement efficiency. Confirm the verified outcome for the real case where you implement efficiency.
Cognition.X : Corporate OS,,T0A-CORP-MTM-4,11–12 · adult,Lead,Manager Time Management & Workload Balance Practice,Track productivity,,Produce documentation for one real case where you track productivity. Name the documentation produced for the real case where you track productivity.
Cognition.X : Corporate OS,,T0A-CORP-MTM-5,11–12 · adult,Lead,Manager Time Management & Workload Balance Practice,Maintain balance,,Track a real case through to completion where you maintain balance. Confirm the tracked outcome for the real case where you maintain balance.
Cognition.X : Corporate OS,,T0A-CORP-WME-1,11–12 · adult,Lead,Workplace Morale & Employee Satisfaction Practice,Assess morale levels,,Confirm one real case where you assess morale levels. State the confirmed outcome for the real case where you assess morale levels.
Cognition.X : Corporate OS,,T0A-CORP-WME-2,11–12 · adult,Lead,Workplace Morale & Employee Satisfaction Practice,Identify satisfaction drivers,,Complete this once for a real case: identify satisfaction drivers. Confirm the result. Record the specific result for the real case where you identify satisfaction drivers.
Cognition.X : Corporate OS,,T0A-CORP-WME-3,11–12 · adult,Lead,Workplace Morale & Employee Satisfaction Practice,Implement improvements,,Verify against real evidence that you implement improvements. Confirm the verified outcome for the real case where you implement improvements.
Cognition.X : Corporate OS,,T0A-CORP-WME-4,11–12 · adult,Lead,Workplace Morale & Employee Satisfaction Practice,Measure sentiment,,Produce documentation for one real case where you measure sentiment. Name the documentation produced for the real case where you measure sentiment.
Cognition.X : Corporate OS,,T0A-CORP-WME-5,11–12 · adult,Lead,Workplace Morale & Employee Satisfaction Practice,Track trends,,Track a real case through to completion where you track trends. Confirm the tracked outcome for the real case where you track trends.
