pack,track,code,grade,level,credential,theme,description,transfer_check
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-1,K–2,Explorer,Public Service Fellow,"Service as a craft, not a slogan","Help someone with a real task and do it carefully, with an adult.",Complete one documented act of public service in your city or county and present it to a real audience beyond your classroom.
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-2,3–5,Explorer,Public Service Fellow,"Service as a craft, not a slogan","Do a helping task carefully rather than just for show, with an adult.",Complete one documented act of public service in your city or county and present it to a real audience beyond your classroom.
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-3,6–8,Builder,Public Service Fellow,"Service as a craft, not a slogan","Perform a real act of service with genuine care and skill, with a checker.",Complete one documented act of public service in your city or county and present it to a real audience beyond your classroom.
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-4,9–10,Practitioner,Public Service Fellow,"Service as a craft, not a slogan","Approach real public service as a craft to be practiced, on your own.",Complete one documented act of public service in your city or county and present it to a real audience beyond your classroom.
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-5,11–12,Lead,Public Service Fellow,"Service as a craft, not a slogan","Explain to someone else why real service is a craft, not a slogan.",Complete one documented act of public service in your city or county and present it to a real audience beyond your classroom.
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-6,K–2,Explorer,Public Service Fellow,The public servants of your city,Ask an adult who works for your city government.,Interview one working public servant about a typical day and present their real duties against what you had assumed.
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-7,3–5,Explorer,Public Service Fellow,The public servants of your city,"Name a real public servant in your city, with an adult's help.",Interview one working public servant about a typical day and present their real duties against what you had assumed.
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-8,6–8,Builder,Public Service Fellow,The public servants of your city,"Identify several real public servants and their roles, with a checker.",Interview one working public servant about a typical day and present their real duties against what you had assumed.
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-9,9–10,Practitioner,Public Service Fellow,The public servants of your city,"Research the real public servants who run key city functions, on your own.",Interview one working public servant about a typical day and present their real duties against what you had assumed.
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-10,11–12,Lead,Public Service Fellow,The public servants of your city,Explain to someone else the real range of roles that keep a city running.,Interview one working public servant about a typical day and present their real duties against what you had assumed.
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-11,K–2,Explorer,Public Service Fellow,Who is missing from the room,"Notice who isn't included in a group activity, with an adult.","Observe one real public meeting and report who was present, who was affected but absent, and one barrier that plausibly explains the gap."
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-12,3–5,Explorer,Public Service Fellow,Who is missing from the room,"Notice who's missing from a real decision-making group, with an adult.","Observe one real public meeting and report who was present, who was affected but absent, and one barrier that plausibly explains the gap."
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-13,6–8,Builder,Public Service Fellow,Who is missing from the room,"Identify who is real missing from a real decision-making room, with a checker.","Observe one real public meeting and report who was present, who was affected but absent, and one barrier that plausibly explains the gap."
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-14,9–10,Practitioner,Public Service Fellow,Who is missing from the room,"Identify and address who is missing from a real real room, on your own.","Observe one real public meeting and report who was present, who was affected but absent, and one barrier that plausibly explains the gap."
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-15,11–12,Lead,Public Service Fellow,Who is missing from the room,Explain to someone else why noticing who's missing from the room matters.,"Observe one real public meeting and report who was present, who was affected but absent, and one barrier that plausibly explains the gap."
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-16,K–2,Explorer,Public Service Fellow,The placement inside a real agency,Visit a real government office with an adult and ask what happens there.,"Complete a placement, shadow day or structured volunteer shift with a real public body, confirmed by a supervisor."
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-17,3–5,Explorer,Public Service Fellow,The placement inside a real agency,"Learn about a real government agency by visiting, with an adult's help.","Complete a placement, shadow day or structured volunteer shift with a real public body, confirmed by a supervisor."
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-18,6–8,Builder,Public Service Fellow,The placement inside a real agency,"Complete a real short placement inside a real agency, with a checker.","Complete a placement, shadow day or structured volunteer shift with a real public body, confirmed by a supervisor."
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-19,9–10,Practitioner,Public Service Fellow,The placement inside a real agency,"Complete a real substantive placement inside a real agency, on your own.","Complete a placement, shadow day or structured volunteer shift with a real public body, confirmed by a supervisor."
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-20,11–12,Lead,Public Service Fellow,The placement inside a real agency,Explain to someone else what a real agency placement actually teaches.,"Complete a placement, shadow day or structured volunteer shift with a real public body, confirmed by a supervisor."
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-21,K–2,Explorer,Public Service Fellow,The seminar circle,"Sit in a circle and share an idea with classmates, with an adult.","Run or take a speaking role in a seminar circle on a live local issue, presenting field evidence and taking questions."
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-22,3–5,Explorer,Public Service Fellow,The seminar circle,"Discuss a real topic in a small group, with an adult's help.","Run or take a speaking role in a seminar circle on a live local issue, presenting field evidence and taking questions."
Civic Leadership Legacy : California,The Fellowship ladder: service as a career,PS-23,6–8,Builder,Public Service Fellow,The seminar circle,"Participate in a real seminar-style discussion, with a checker.","Run or take a speaking role in a seminar circle on a live local issue, presenting field evidence and taking questions."
