pack,track,code,grade,level,credential,theme,description,transfer_check
SmartCiti.X : First Responder,The fire service: reading a building before it burns,FS-1,K–2,Explorer,Fire Service Reader,Reading a scene before anyone touches it,"The first thing a fire officer does is look, and say out loud what they see — how big, what is burning, what is threatened, what is needed. Naming a situation accurately is the skill under every decision that follows. — at K–2","From the public sidewalk, describe one building near your home in four sentences: how many floors, how many ways out that you can see, what is next to it, and what would be hard about it. Do not enter or approach."
SmartCiti.X : First Responder,The fire service: reading a building before it burns,FS-2,3–5,Explorer,Fire Service Reader,Reading a scene before anyone touches it,"The first thing a fire officer does is look, and say out loud what they see — how big, what is burning, what is threatened, what is needed. Naming a situation accurately is the skill under every decision that follows. — at 3–5","From the public sidewalk, describe one building near your home in four sentences: how many floors, how many ways out that you can see, what is next to it, and what would be hard about it. Do not enter or approach."
SmartCiti.X : First Responder,The fire service: reading a building before it burns,FS-3,6–8,Builder,Fire Service Reader,Reading a scene before anyone touches it,"The first thing a fire officer does is look, and say out loud what they see — how big, what is burning, what is threatened, what is needed. Naming a situation accurately is the skill under every decision that follows. — at 6–8","From the public sidewalk, describe one building near your home in four sentences: how many floors, how many ways out that you can see, what is next to it, and what would be hard about it. Do not enter or approach."
SmartCiti.X : First Responder,The fire service: reading a building before it burns,FS-4,9–10,Practitioner,Fire Service Reader,Reading a scene before anyone touches it,"The first thing a fire officer does is look, and say out loud what they see — how big, what is burning, what is threatened, what is needed. Naming a situation accurately is the skill under every decision that follows. — at 9–10","From the public sidewalk, describe one building near your home in four sentences: how many floors, how many ways out that you can see, what is next to it, and what would be hard about it. Do not enter or approach."
SmartCiti.X : First Responder,The fire service: reading a building before it burns,FS-5,11–12,Lead,Fire Service Reader,Reading a scene before anyone touches it,"The first thing a fire officer does is look, and say out loud what they see — how big, what is burning, what is threatened, what is needed. Naming a situation accurately is the skill under every decision that follows. — at 11–12","From the public sidewalk, describe one building near your home in four sentences: how many floors, how many ways out that you can see, what is next to it, and what would be hard about it. Do not enter or approach."
SmartCiti.X : First Responder,The fire service: reading a building before it burns,FS-6,K–2,Explorer,Fire Service Reader,"Somebody is in charge, and you can tell who","Every incident has one person holding command, and command gets handed over out loud so nobody is ever unsure. The point is not rank; it is that the answer to 'who decides' is never ambiguous. — at K–2","Find your fire department's published organisation chart or annual report and write down who would be in charge of a large incident, and who takes over if that person hands off."
SmartCiti.X : First Responder,The fire service: reading a building before it burns,FS-7,3–5,Explorer,Fire Service Reader,"Somebody is in charge, and you can tell who","Every incident has one person holding command, and command gets handed over out loud so nobody is ever unsure. The point is not rank; it is that the answer to 'who decides' is never ambiguous. — at 3–5","Find your fire department's published organisation chart or annual report and write down who would be in charge of a large incident, and who takes over if that person hands off."
SmartCiti.X : First Responder,The fire service: reading a building before it burns,FS-8,6–8,Builder,Fire Service Reader,"Somebody is in charge, and you can tell who","Every incident has one person holding command, and command gets handed over out loud so nobody is ever unsure. The point is not rank; it is that the answer to 'who decides' is never ambiguous. — at 6–8","Find your fire department's published organisation chart or annual report and write down who would be in charge of a large incident, and who takes over if that person hands off."
SmartCiti.X : First Responder,The fire service: reading a building before it burns,FS-9,9–10,Practitioner,Fire Service Reader,"Somebody is in charge, and you can tell who","Every incident has one person holding command, and command gets handed over out loud so nobody is ever unsure. The point is not rank; it is that the answer to 'who decides' is never ambiguous. — at 9–10","Find your fire department's published organisation chart or annual report and write down who would be in charge of a large incident, and who takes over if that person hands off."
SmartCiti.X : First Responder,The fire service: reading a building before it burns,FS-10,11–12,Lead,Fire Service Reader,"Somebody is in charge, and you can tell who","Every incident has one person holding command, and command gets handed over out loud so nobody is ever unsure. The point is not rank; it is that the answer to 'who decides' is never ambiguous. — at 11–12","Find your fire department's published organisation chart or annual report and write down who would be in charge of a large incident, and who takes over if that person hands off."
SmartCiti.X : First Responder,The fire service: reading a building before it burns,FS-11,K–2,Explorer,Fire Service Reader,"Nobody goes in alone, and everybody comes out","Crews stay together and are counted. A head-count that happens on a schedule, not when somebody feels uneasy, is what turns a missing person into a known fact within minutes. — at K–2","Agree a meeting point outside your home with everyone who lives there, and walk to it together from two different rooms. Write down how long the second route took."
