pack,track,code,grade,level,credential,theme,description,transfer_check
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-1,K–2,Explorer,Working Draftsperson,Drawing to communicate,"Draw a picture to show an adult what happened, instead of just telling them.",Sketch an object or a plan clearly enough that a second person builds or finds it from the drawing alone.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-2,3–5,Explorer,Working Draftsperson,Drawing to communicate,"Draw a simple diagram to explain an idea, with an adult's help.",Sketch an object or a plan clearly enough that a second person builds or finds it from the drawing alone.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-3,6–8,Builder,Working Draftsperson,Drawing to communicate,"Draw a real diagram that clearly communicates an idea, with a checker.",Sketch an object or a plan clearly enough that a second person builds or finds it from the drawing alone.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-4,9–10,Practitioner,Working Draftsperson,Drawing to communicate,"Draw a real diagram or sketch that communicates a real idea, on your own.",Sketch an object or a plan clearly enough that a second person builds or finds it from the drawing alone.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-5,11–12,Lead,Working Draftsperson,Drawing to communicate,"Teach someone else how to draw something that communicates clearly, without words.",Sketch an object or a plan clearly enough that a second person builds or finds it from the drawing alone.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-6,K–2,Explorer,Working Draftsperson,Proportion and measure,Compare the size of two objects with an adult.,Draw a room or object to scale with measurements and produce a second drawing at a different scale that matches.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-7,3–5,Explorer,Working Draftsperson,Proportion and measure,"Draw two objects at roughly the right sizes compared to each other, with an adult.",Draw a room or object to scale with measurements and produce a second drawing at a different scale that matches.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-8,6–8,Builder,Working Draftsperson,Proportion and measure,"Draw a real object with correct proportions, with a checker.",Draw a room or object to scale with measurements and produce a second drawing at a different scale that matches.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-9,9–10,Practitioner,Working Draftsperson,Proportion and measure,"Draw a real complex object with accurate proportions, on your own.",Draw a room or object to scale with measurements and produce a second drawing at a different scale that matches.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-10,11–12,Lead,Working Draftsperson,Proportion and measure,Teach someone else how to judge and draw real proportions accurately.,Draw a room or object to scale with measurements and produce a second drawing at a different scale that matches.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-11,K–2,Explorer,Working Draftsperson,Perspective,"Notice that far away things look smaller, with an adult.","Draw a street or interior in two-point perspective with correct vanishing points, checked against a photograph."
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-12,3–5,Explorer,Working Draftsperson,Perspective,"Draw a simple scene where far things are smaller, with an adult's help.","Draw a street or interior in two-point perspective with correct vanishing points, checked against a photograph."
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-13,6–8,Builder,Working Draftsperson,Perspective,"Draw a real scene using basic perspective, with a checker.","Draw a street or interior in two-point perspective with correct vanishing points, checked against a photograph."
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-14,9–10,Practitioner,Working Draftsperson,Perspective,"Draw a real scene using accurate perspective, on your own.","Draw a street or interior in two-point perspective with correct vanishing points, checked against a photograph."
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-15,11–12,Lead,Working Draftsperson,Perspective,Teach someone else how to draw a real scene using proper perspective.,"Draw a street or interior in two-point perspective with correct vanishing points, checked against a photograph."
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-16,K–2,Explorer,Working Draftsperson,Color,"Mix two paint colors to make a new one, with an adult.",Mix and chart twelve target colours from primaries and paint a small study using a limited palette.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-17,3–5,Explorer,Working Draftsperson,Color,"Mix real colors to get a color you want, with an adult's help.",Mix and chart twelve target colours from primaries and paint a small study using a limited palette.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-18,6–8,Builder,Working Draftsperson,Color,"Mix and use real color intentionally in a piece, with a checker.",Mix and chart twelve target colours from primaries and paint a small study using a limited palette.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-19,9–10,Practitioner,Working Draftsperson,Color,"Use real color theory intentionally in a finished piece, on your own.",Mix and chart twelve target colours from primaries and paint a small study using a limited palette.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-20,11–12,Lead,Working Draftsperson,Color,Teach someone else how to use real color theory to create a mood.,Mix and chart twelve target colours from primaries and paint a small study using a limited palette.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-21,K–2,Explorer,Working Draftsperson,Composition,"Arrange a few objects nicely on a table, with an adult.","Produce three compositions of the same subject that lead the eye differently, and explain each."
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-22,3–5,Explorer,Working Draftsperson,Composition,"Arrange elements in a drawing so it looks balanced, with an adult's help.","Produce three compositions of the same subject that lead the eye differently, and explain each."
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-23,6–8,Builder,Working Draftsperson,Composition,"Compose a real piece with balance and focus, with a checker.","Produce three compositions of the same subject that lead the eye differently, and explain each."
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-24,9–10,Practitioner,Working Draftsperson,Composition,"Compose a real finished piece with deliberate balance and focus, on your own.","Produce three compositions of the same subject that lead the eye differently, and explain each."
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-25,11–12,Lead,Working Draftsperson,Composition,Teach someone else how to compose a real piece that draws the eye correctly.,"Produce three compositions of the same subject that lead the eye differently, and explain each."
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-26,K–2,Explorer,Working Draftsperson,Lettering and layout,"Write your name neatly on a sign, with an adult.",Hand-letter a legible sign and lay out a poster with a clear hierarchy that a stranger reads at a glance.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-27,3–5,Explorer,Working Draftsperson,Lettering and layout,"Make a simple sign with neat lettering, with an adult's help.",Hand-letter a legible sign and lay out a poster with a clear hierarchy that a stranger reads at a glance.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-28,6–8,Builder,Working Draftsperson,Lettering and layout,"Design a real sign with clear lettering and layout, with a checker.",Hand-letter a legible sign and lay out a poster with a clear hierarchy that a stranger reads at a glance.
Arts & Craft Trades : Louisiana Makers,Seeing and drawing for work,SD-29,9–10,Practitioner,Working Draftsperson,Lettering and layout,"Design a real professional sign or poster layout, on your own.",Hand-letter a legible sign and lay out a poster with a clear hierarchy that a stranger reads at a glance.
