pack,track,code,grade,level,credential,theme,description,transfer_check
Transport & Mobility,Moving through the city without a car,TM-1,K–2,Explorer,City Navigator,Reading a network map,"Point at your stop on a simple bus map, with an adult.",Plan and complete (or fully paper-run) a three-leg journey on a real network using only its map and timetable.
Transport & Mobility,Moving through the city without a car,TM-2,3–5,Explorer,City Navigator,Reading a network map,"Find a real route on a real transit map, with an adult's help.",Plan and complete (or fully paper-run) a three-leg journey on a real network using only its map and timetable.
Transport & Mobility,Moving through the city without a car,TM-3,6–8,Builder,City Navigator,Reading a network map,"Read a real network map to plan a real trip, with a checker.",Plan and complete (or fully paper-run) a three-leg journey on a real network using only its map and timetable.
Transport & Mobility,Moving through the city without a car,TM-4,9–10,Practitioner,City Navigator,Reading a network map,Plan a real trip using a real network map on your own.,Plan and complete (or fully paper-run) a three-leg journey on a real network using only its map and timetable.
Transport & Mobility,Moving through the city without a car,TM-5,11–12,Lead,City Navigator,Reading a network map,Teach someone else how to read a real transit network map confidently.,Plan and complete (or fully paper-run) a three-leg journey on a real network using only its map and timetable.
Transport & Mobility,Moving through the city without a car,TM-6,K–2,Explorer,City Navigator,"Fares, passes and the cheapest way in",Ask an adult how much a bus or train ride costs.,"Price one month of your actual journeys three ways and identify the cheapest legitimate option, including any concession you qualify for."
Transport & Mobility,Moving through the city without a car,TM-7,3–5,Explorer,City Navigator,"Fares, passes and the cheapest way in","Learn about a real fare or pass option, with an adult's help.","Price one month of your actual journeys three ways and identify the cheapest legitimate option, including any concession you qualify for."
Transport & Mobility,Moving through the city without a car,TM-8,6–8,Builder,City Navigator,"Fares, passes and the cheapest way in","Compare real fare options to find the cheapest way in, with a checker.","Price one month of your actual journeys three ways and identify the cheapest legitimate option, including any concession you qualify for."
Transport & Mobility,Moving through the city without a car,TM-9,9–10,Practitioner,City Navigator,"Fares, passes and the cheapest way in","Choose the real cheapest fare option for your own real travel, on your own.","Price one month of your actual journeys three ways and identify the cheapest legitimate option, including any concession you qualify for."
Transport & Mobility,Moving through the city without a car,TM-10,11–12,Lead,City Navigator,"Fares, passes and the cheapest way in",Advise someone else on the real cheapest way to pay for transit.,"Price one month of your actual journeys three ways and identify the cheapest legitimate option, including any concession you qualify for."
Transport & Mobility,Moving through the city without a car,TM-11,K–2,Explorer,City Navigator,The timetable and the truth,Ask an adult if the bus always comes exactly on time.,Compare scheduled and actual arrivals for one route across five observations and derive the buffer you would actually use.
Transport & Mobility,Moving through the city without a car,TM-12,3–5,Explorer,City Navigator,The timetable and the truth,"Learn that a real timetable is a guide, not a guarantee, with an adult.",Compare scheduled and actual arrivals for one route across five observations and derive the buffer you would actually use.
Transport & Mobility,Moving through the city without a car,TM-13,6–8,Builder,City Navigator,The timetable and the truth,"Compare a real timetable to real actual service, with a checker.",Compare scheduled and actual arrivals for one route across five observations and derive the buffer you would actually use.
Transport & Mobility,Moving through the city without a car,TM-14,9–10,Practitioner,City Navigator,The timetable and the truth,"Plan a real trip accounting for real timetable unreliability, on your own.",Compare scheduled and actual arrivals for one route across five observations and derive the buffer you would actually use.
Transport & Mobility,Moving through the city without a car,TM-15,11–12,Lead,City Navigator,The timetable and the truth,Explain to someone else the real gap between a timetable and reality.,Compare scheduled and actual arrivals for one route across five observations and derive the buffer you would actually use.
Transport & Mobility,Moving through the city without a car,TM-16,K–2,Explorer,City Navigator,The last mile,Ask an adult how you get from the bus stop to your door.,"Solve one real last-mile problem two different ways and compare them on time, cost and safety."
Transport & Mobility,Moving through the city without a car,TM-17,3–5,Explorer,City Navigator,The last mile,"Learn what the real 'last mile' of a trip means, with an adult.","Solve one real last-mile problem two different ways and compare them on time, cost and safety."
Transport & Mobility,Moving through the city without a car,TM-18,6–8,Builder,City Navigator,The last mile,"Plan a real solution for the real last mile of a journey, with a checker.","Solve one real last-mile problem two different ways and compare them on time, cost and safety."
Transport & Mobility,Moving through the city without a car,TM-19,9–10,Practitioner,City Navigator,The last mile,"Plan your own real last-mile solution for a real trip, on your own.","Solve one real last-mile problem two different ways and compare them on time, cost and safety."
