pack,track,code,grade,level,credential,theme,description,transfer_check
Emergency Preparedness & First Response,The household that is ready,HR-1,K–2,Explorer,Household Ready,The risks where you actually live,"With an adult, name the two things that could go wrong where you live — the big water, the big wind — and point to where you would go.","Build the ranked hazard list for your own address from official maps and records, with the evidence for each entry."
Emergency Preparedness & First Response,The household that is ready,HR-2,3–5,Explorer,Household Ready,The risks where you actually live,"Find your home on a printed flood or storm map with help, colour the risks that touch it, and list them from most to least likely.","Build the ranked hazard list for your own address from official maps and records, with the evidence for each entry."
Emergency Preparedness & First Response,The household that is ready,HR-3,6–8,Builder,Household Ready,The risks where you actually live,"Look up the official hazard maps for your address yourself, list every risk that touches it, and say where each entry came from.","Build the ranked hazard list for your own address from official maps and records, with the evidence for each entry."
Emergency Preparedness & First Response,The household that is ready,HR-4,9–10,Practitioner,Household Ready,The risks where you actually live,"Build the ranked hazard list for your address from official maps and records, with a source and a likelihood note on every entry.","Build the ranked hazard list for your own address from official maps and records, with the evidence for each entry."
Emergency Preparedness & First Response,The household that is ready,HR-5,11–12,Lead,Household Ready,The risks where you actually live,"Build the ranked list for a household other than your own, defend the ranking to its members, and file the sources so they can check you.","Build the ranked hazard list for your own address from official maps and records, with the evidence for each entry."
Emergency Preparedness & First Response,The household that is ready,HR-6,K–2,Explorer,Household Ready,Seventy-two hours on your own shelf,"Help gather the family's water, snacks, a light and a blanket into one box, and count the people the box is for.","Assemble or audit a real 72-hour kit for your household's actual members, including the items lists always forget."
Emergency Preparedness & First Response,The household that is ready,HR-7,3–5,Explorer,Household Ready,Seventy-two hours on your own shelf,"Write the three-day list for your own household — water by the person, food that needs no stove, light, warmth, medicine — and check the shelf against it.","Assemble or audit a real 72-hour kit for your household's actual members, including the items lists always forget."
Emergency Preparedness & First Response,The household that is ready,HR-8,6–8,Builder,Household Ready,Seventy-two hours on your own shelf,"Audit the household's real kit against a three-day standard, find what is missing or expired, and make the replacement list with costs.","Assemble or audit a real 72-hour kit for your household's actual members, including the items lists always forget."
Emergency Preparedness & First Response,The household that is ready,HR-9,9–10,Practitioner,Household Ready,Seventy-two hours on your own shelf,"Assemble or audit a complete 72-hour kit sized to the people, pets and prescriptions actually in the household, including the items lists forget.","Assemble or audit a real 72-hour kit for your household's actual members, including the items lists always forget."
Emergency Preparedness & First Response,The household that is ready,HR-10,11–12,Lead,Household Ready,Seventy-two hours on your own shelf,"Size and assemble a kit for a household with a named special need — an infant, a dialysis patient, a wheelchair user — and write the rotation schedule.","Assemble or audit a real 72-hour kit for your household's actual members, including the items lists always forget."
