pack,track,code,grade,level,credential,theme,description,transfer_check
K–12,,,K,,Cadet: Counter,Counting the Depot,,Count a novel set of 12 mixed parts and match the numeral
K–12,,,K,,Cadet: Shape Sorter,Shapes that Roll,,Build a bot base from named shapes
K–12,,,K,,Cadet: Feeder,More or Fewer,,Solve two add/subtract-within-10 stories about the depot
K–12,,,K,,Depot Cadet,Measure and Compare,,Compare two objects on two attributes and explain in a drawing
K–12,,,K,,Bridge: Gear Cadet,Summer Bridge K→1: Gears in the Garden,,Count and compare a novel harvest set; name one gear pair
K–12,,,1,,Gear Cadet: Counter,Adding to Ten,,Solve three novel add/subtract-within-20 gear stories
K–12,,,1,,Gear Cadet: Inventory,Place Value at the Depot,,Represent a two-digit inventory count two ways
K–12,,,1,,Gear Cadet: Measurer,Measuring with Bots,,Measure a novel object with a non-standard unit and read a clock to the half hour
K–12,,,1,,Gear Cadet,Shapes and Halves,,Partition a shape into halves and describe it in writing
K–12,,,1,,Bridge: Belt Cadet,Summer Bridge 1→2: The Belt Camp,,Solve two belt stories within 20; measure and compare two sections
K–12,,,2,,Belt Cadet: Operator,Gear Tooth Operations II,,Solve a two-step gear story within 100
K–12,,,2,,Belt Cadet: Inventory,"Depot Inventory to 1,000",,Add and subtract three-digit inventory totals with explanation
K–12,,,2,,Belt Cadet: Log Keeper,The Repair Log,,"Produce a repair log with measurement, time and a bar graph"
K–12,,,2,,Belt Cadet,Belt Sections,,Partition a rectangle into rows and columns and count the squares
K–12,,,2,,Bridge: Sequencer,Summer Bridge 2→3: Sorting Floor Camp,,Build an array from a novel load and write its equal-groups sentence
K–12,,,3,,Sequencer: Patterns,Pattern & Sequence Bots,,Extend and explain a novel multiplication pattern
K–12,,,3,,Sequencer: Belt Operator,Fractions on the Conveyor I,,Place fractions on a number line and compare two belt speeds
K–12,,,3,,Sequencer: Gauge Reader,Gauge Reader,,Solve a novel area problem and read a scaled bar graph
K–12,,,3,,Junior Systems Cadet,Depot Inspection,,Fluent multiplication facts and a hand-written inspection report
K–12,,,3,,Bridge: Shape Mechanic,Summer Bridge 3→4: Crane Yard Camp,,Multi-step load problem; a fraction of a novel belt
K–12,,,4,,Shape Mechanic: Crane,Crane Arm Fold,,Multi-step word problem with a remainder interpreted in context
K–12,,,4,,Shape Mechanic: Belt,Fractions on the Conveyor II,,Add and subtract fractions with unlike denominators in a novel belt problem
K–12,,,4,,Shape Mechanic: Gauge,Measure the Machine,,Measure and sketch angles on a novel linkage; convert units
K–12,,,4,,Shape Mechanic,"Lines, Angles and the Coast",,Classify shapes by lines and angles and write the cursive engineering note
K–12,,,4,,Bridge: Gauge Watcher,Summer Bridge 4→5: Pump Station Camp,,Read a gauge to the hundredth; measure a novel angle
K–12,,,5,,Gauge Watcher: Sensors,Weather & Water Sensors I,,Decimal computation on a novel gauge log with a justified alert decision
K–12,,,5,,Gauge Watcher: Belt,Belt at Three-Quarter Speed,,Fraction multiplication and division in a novel pump-station problem
K–12,,,5,,Gauge Watcher: Data,Flood Alert Data,,Volume and unit conversion on a novel tank; data plot with a written conclusion
K–12,,,5,,Junior Systems Cadet (Ignite Era complete),Depot Map Coordinates,,Plot and interpret points on a novel map; classify shapes
K–12,,,5,,Bridge: Field Technician I,Summer Bridge 5→6: Port Preview,,Plot and read a novel yard map; solve one rate problem
K–12,,,6,,Drive Tech,Ratios & Gear Trains,,Novel ratio table and unit-rate problem with a gear-train sketch
K–12,,,6,,Junior Programmer I,Python Foundations I,,Write and evaluate an expression for a novel belt; debug a three-line loop
K–12,,,6,,Yard Geometer,Container Geometry,,"Area, surface area and coordinate distance on a novel yard layout"
K–12,,,6,,Data Tech I,Sensors & Noise I,,Describe center and spread of a novel sensor set and pick the reliable one
K–12,,,6,,Bridge: Field Technician II,Summer Bridge 6→7: Terminal Summer Crew,,Proportion problem on a novel sensor set
K–12,,,7,,Torque Tech,Proportional Torque,,Proportional reasoning with a percent margin on a novel load
K–12,,,7,,Power Tech,Motor Margin Equations,,Two-step equation and inequality on a novel power budget
K–12,,,7,,Path Planner I,Coordinate Robots I,,Scale drawing and circle problem on a novel gantry
K–12,,,7,,Data Tech II,Sensor Sampling,,Probability and sampling inference on a novel sensor log
K–12,,,7,,Bridge: Field Technician III,Summer Bridge 7→8: Grain Terminal Summer Crew,,Linear model of a novel belt; relay traced
