pack,track,code,grade,level,credential,theme,description,transfer_check
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-1,K–2,Explorer,River Systems Reader,A continent's drain runs past your door,"Pour water on a tray of sand and watch where it runs, then find the big river on a map and trace it with your finger to the Gulf.","Trace, on a real map, the path rain falling in two distant states takes to pass Louisiana, and name what it picks up on the way."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-2,3–5,Explorer,River Systems Reader,A continent's drain runs past your door,"On a map of the United States, colour the states whose rain ends up in the Mississippi and trace one raindrop's path past Louisiana.","Trace, on a real map, the path rain falling in two distant states takes to pass Louisiana, and name what it picks up on the way."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-3,6–8,Builder,River Systems Reader,A continent's drain runs past your door,"Trace, on a real map, the path rain falling in one distant state takes to pass Louisiana, and name two things it picks up on the way.","Trace, on a real map, the path rain falling in two distant states takes to pass Louisiana, and name what it picks up on the way."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-4,9–10,Practitioner,River Systems Reader,A continent's drain runs past your door,"Trace, on a real map, the path rain falling in two distant states takes to pass Louisiana, and name what it picks up on the way.","Trace, on a real map, the path rain falling in two distant states takes to pass Louisiana, and name what it picks up on the way."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-5,11–12,Lead,River Systems Reader,A continent's drain runs past your door,"Trace the paths from two states, quantify one thing the river carries from published measurements, and present the watershed to a class as one system.","Trace, on a real map, the path rain falling in two distant states takes to pass Louisiana, and name what it picks up on the way."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-6,K–2,Explorer,River Systems Reader,The levee line,Stand on or look at a levee with an adult and say what it keeps out and what is behind it.,"Visit or study the levee section nearest your parish and report who maintains it, its height history, and what sits behind it."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-7,3–5,Explorer,River Systems Reader,The levee line,Find the levee nearest your parish on a map and draw what it protects on one side and the river on the other.,"Visit or study the levee section nearest your parish and report who maintains it, its height history, and what sits behind it."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-8,6–8,Builder,River Systems Reader,The levee line,Study the levee section nearest your parish and report who maintains it and what sits behind it.,"Visit or study the levee section nearest your parish and report who maintains it, its height history, and what sits behind it."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-9,9–10,Practitioner,River Systems Reader,The levee line,"Visit or study the levee section nearest your parish and report who maintains it, its height history, and what sits behind it.","Visit or study the levee section nearest your parish and report who maintains it, its height history, and what sits behind it."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-10,11–12,Lead,River Systems Reader,The levee line,"Visit the section, report its history and maintainer, and present to a class what confining the river there costs downstream, with sources.","Visit or study the levee section nearest your parish and report who maintains it, its height history, and what sits behind it."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-11,K–2,Explorer,River Systems Reader,The structures that hold the river in place,"Build a channel in sand, let water find a shorter way, and see why people built walls to keep the river where it is.","Explain, with a drawing, what Old River Control does and what would change downstream if it failed, verified against an authoritative source."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-12,3–5,Explorer,River Systems Reader,The structures that hold the river in place,"Draw the river and the shorter path it wants to take to the Gulf, and mark the structure that stops it.","Explain, with a drawing, what Old River Control does and what would change downstream if it failed, verified against an authoritative source."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-13,6–8,Builder,River Systems Reader,The structures that hold the river in place,"Explain, with a drawing, what Old River Control does and what would change downstream if it failed.","Explain, with a drawing, what Old River Control does and what would change downstream if it failed, verified against an authoritative source."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-14,9–10,Practitioner,River Systems Reader,The structures that hold the river in place,"Explain, with a drawing, what Old River Control does and what would change downstream if it failed, verified against an authoritative source.","Explain, with a drawing, what Old River Control does and what would change downstream if it failed, verified against an authoritative source."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-15,11–12,Lead,River Systems Reader,The structures that hold the river in place,"Explain the structure from primary sources and lead a class discussion of who would gain and lose if the river moved, with the evidence for each.","Explain, with a drawing, what Old River Control does and what would change downstream if it failed, verified against an authoritative source."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-16,K–2,Explorer,River Systems Reader,Opening the spillway,"Learn that when the river gets too high, grown-ups open a big gate to let some water out, and draw where it goes.","From records of one real spillway opening, chart the trigger, the decision-maker, and two documented downstream effects."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-17,3–5,Explorer,River Systems Reader,Opening the spillway,"Find one time the spillway was opened, and say who decided and where the water went.","From records of one real spillway opening, chart the trigger, the decision-maker, and two documented downstream effects."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-18,6–8,Builder,River Systems Reader,Opening the spillway,"From records of one real spillway opening, chart the trigger and the decision-maker, and name one downstream effect.","From records of one real spillway opening, chart the trigger, the decision-maker, and two documented downstream effects."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-19,9–10,Practitioner,River Systems Reader,Opening the spillway,"From records of one real spillway opening, chart the trigger, the decision-maker, and two documented downstream effects.","From records of one real spillway opening, chart the trigger, the decision-maker, and two documented downstream effects."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-20,11–12,Lead,River Systems Reader,Opening the spillway,"Compare two openings from the records, explain why the decisions differed, and present the case for and against the second one.","From records of one real spillway opening, chart the trigger, the decision-maker, and two documented downstream effects."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-21,K–2,Explorer,River Systems Reader,Reading the gauge,Look at a river gauge picture or a real one with an adult and say whether the water is high or low today.,"Read the current stage at the gauge nearest your parish, compare it to flood stage and the record, and state what today's number means."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-22,3–5,Explorer,River Systems Reader,Reading the gauge,Read the number at the gauge nearest your parish and put it on a chart against flood stage.,"Read the current stage at the gauge nearest your parish, compare it to flood stage and the record, and state what today's number means."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-23,6–8,Builder,River Systems Reader,Reading the gauge,"Read the current stage at the gauge nearest your parish, compare it to flood stage, and say what today's number means.","Read the current stage at the gauge nearest your parish, compare it to flood stage and the record, and state what today's number means."
Cognition.X : Louisiana OS,The river: the Mississippi and its machinery,MS-24,9–10,Practitioner,River Systems Reader,Reading the gauge,"Read the current stage at the gauge nearest your parish, compare it to flood stage and the record, and state what today's number means.","Read the current stage at the gauge nearest your parish, compare it to flood stage and the record, and state what today's number means."
